"Years","CO2EQ","CO2","CH4","N2O","RF"
2126,789.51545,732.84773,1523.7724,422.63532,5.8210897
2127,791.14824,734.38928,1522.7867,423.00532,5.8160346
2128,792.70816,735.86182,1521.8936,423.35768,5.8156464
2129,794.19127,737.26278,1521.0786,423.69257,5.8190218
2130,795.59606,738.59171,1520.3297,424.01013,5.8753372
2131,796.90083,739.83434,1519.5757,424.31055,5.9578137
2132,798.10002,740.98904,1518.7746,424.59396,6.000783
2133,799.22374,742.0798,1517.9732,424.86053,6.0176674
2134,800.29356,743.1235,1517.2085,425.11041,6.0083995
2135,801.32057,744.12799,1516.509,425.34375,5.9712836
2136,802.31056,745.09601,1515.9053,425.56071,5.9337691
2137,803.2541,746.01899,1515.394,425.76144,5.9132373
2138,804.13287,746.88224,1514.9471,425.94609,5.902987
2139,804.93568,747.67691,1514.5455,426.1148,5.8974061
2140,805.65887,748.40031,1514.1802,426.26773,5.8955922
2141,806.30121,749.05184,1513.844,426.40501,5.9467224
2142,806.84093,749.6169,1513.4702,426.52679,6.0240175
2143,807.27225,750.09334,1513.0204,426.63322,6.0618062
2144,807.62623,750.50572,1512.545,426.72443,6.0735132
2145,807.92524,750.87141,1512.0835,426.80057,6.0590734
2146,808.18047,751.19813,1511.6673,426.86177,6.01679
2147,808.39823,751.4889,1511.3289,426.90817,5.9741151
2148,808.56918,751.73512,1511.0669,426.93991,5.9484299
2149,808.67492,751.92185,1510.8551,426.95712,5.9661767
2150,808.70955,751.99877,1510.7589,426.96211,5.9938379
2151,808.70955,751.99877,1510.7589,426.96211,5.9938379
2152,808.70955,751.99877,1510.7589,426.96211,5.9938379
2153,808.70955,751.99877,1510.7589,426.96211,5.9938379
2154,808.70955,751.99877,1510.7589,426.96211,5.9938379
2155,808.70955,751.99877,1510.7589,426.96211,5.9938379
2156,808.70955,751.99877,1510.7589,426.96211,5.9938379
2157,808.70955,751.99877,1510.7589,426.96211,5.9938379
2158,808.70955,751.99877,1510.7589,426.96211,5.9938379
2159,808.70955,751.99877,1510.7589,426.96211,5.9938379
2160,808.70955,751.99877,1510.7589,426.96211,5.9938379
2161,808.70955,751.99877,1510.7589,426.96211,5.9938379
2162,808.70955,751.99877,1510.7589,426.96211,5.9938379
2163,808.70955,751.99877,1510.7589,426.96211,5.9938379
2164,808.70955,751.99877,1510.7589,426.96211,5.9938379
2165,808.70955,751.99877,1510.7589,426.96211,5.9938379
2166,808.70955,751.99877,1510.7589,426.96211,5.9938379
2167,808.70955,751.99877,1510.7589,426.96211,5.9938379
2168,808.70955,751.99877,1510.7589,426.96211,5.9938379
2169,808.70955,751.99877,1510.7589,426.96211,5.9938379
2170,808.70955,751.99877,1510.7589,426.96211,5.9938379
2171,808.70955,751.99877,1510.7589,426.96211,5.9938379
2172,808.70955,751.99877,1510.7589,426.96211,5.9938379
2173,808.70955,751.99877,1510.7589,426.96211,5.9938379
2174,808.70955,751.99877,1510.7589,426.96211,5.9938379
2175,808.70955,751.99877,1510.7589,426.96211,5.9938379
2176,808.70955,751.99877,1510.7589,426.96211,5.9938379
2177,808.70955,751.99877,1510.7589,426.96211,5.9938379
2178,808.70955,751.99877,1510.7589,426.96211,5.9938379
2179,808.70955,751.99877,1510.7589,426.96211,5.9938379
2180,808.70955,751.99877,1510.7589,426.96211,5.9938379
2181,808.70955,751.99877,1510.7589,426.96211,5.9938379
2182,808.70955,751.99877,1510.7589,426.96211,5.9938379
2183,808.70955,751.99877,1510.7589,426.96211,5.9938379
2184,808.70955,751.99877,1510.7589,426.96211,5.9938379
2185,808.70955,751.99877,1510.7589,426.96211,5.9938379
2186,808.70955,751.99877,1510.7589,426.96211,5.9938379
2187,808.70955,751.99877,1510.7589,426.96211,5.9938379
2188,808.70955,751.99877,1510.7589,426.96211,5.9938379
2189,808.70955,751.99877,1510.7589,426.96211,5.9938379
2190,808.70955,751.99877,1510.7589,426.96211,5.9938379
2191,808.70955,751.99877,1510.7589,426.96211,5.9938379
2192,808.70955,751.99877,1510.7589,426.96211,5.9938379
2193,808.70955,751.99877,1510.7589,426.96211,5.9938379
2194,808.70955,751.99877,1510.7589,426.96211,5.9938379
2195,808.70955,751.99877,1510.7589,426.96211,5.9938379
2196,808.70955,751.99877,1510.7589,426.96211,5.9938379
2197,808.70955,751.99877,1510.7589,426.96211,5.9938379
2198,808.70955,751.99877,1510.7589,426.96211,5.9938379
2199,808.70955,751.99877,1510.7589,426.96211,5.9938379
2200,808.70955,751.99877,1510.7589,426.96211,5.9938379
2201,808.70955,751.99877,1510.7589,426.96211,5.9938379
2202,808.70955,751.99877,1510.7589,426.96211,5.9938379
2203,808.70955,751.99877,1510.7589,426.96211,5.9938379
2204,808.70955,751.99877,1510.7589,426.96211,5.9938379
2205,808.70955,751.99877,1510.7589,426.96211,5.9938379
2206,808.70955,751.99877,1510.7589,426.96211,5.9938379
2207,808.70955,751.99877,1510.7589,426.96211,5.9938379
2208,808.70955,751.99877,1510.7589,426.96211,5.9938379
2209,808.70955,751.99877,1510.7589,426.96211,5.9938379
2210,808.70955,751.99877,1510.7589,426.96211,5.9938379
2211,808.70955,751.99877,1510.7589,426.96211,5.9938379
2212,808.70955,751.99877,1510.7589,426.96211,5.9938379
2213,808.70955,751.99877,1510.7589,426.96211,5.9938379
2214,808.70955,751.99877,1510.7589,426.96211,5.9938379
2215,808.70955,751.99877,1510.7589,426.96211,5.9938379
2216,808.70955,751.99877,1510.7589,426.96211,5.9938379
2217,808.70955,751.99877,1510.7589,426.96211,5.9938379
2218,808.70955,751.99877,1510.7589,426.96211,5.9938379
2219,808.70955,751.99877,1510.7589,426.96211,5.9938379
2220,808.70955,751.99877,1510.7589,426.96211,5.9938379
2221,808.70955,751.99877,1510.7589,426.96211,5.9938379
2222,808.70955,751.99877,1510.7589,426.96211,5.9938379
2223,808.70955,751.99877,1510.7589,426.96211,5.9938379
2224,808.70955,751.99877,1510.7589,426.96211,5.9938379
2225,808.70955,751.99877,1510.7589,426.96211,5.9938379
2226,808.70955,751.99877,1510.7589,426.96211,5.9938379
2227,808.70955,751.99877,1510.7589,426.96211,5.9938379
2228,808.70955,751.99877,1510.7589,426.96211,5.9938379
2229,808.70955,751.99877,1510.7589,426.96211,5.9938379
2230,808.70955,751.99877,1510.7589,426.96211,5.9938379
2231,808.70955,751.99877,1510.7589,426.96211,5.9938379
2232,808.70955,751.99877,1510.7589,426.96211,5.9938379
2233,808.70955,751.99877,1510.7589,426.96211,5.9938379
2234,808.70955,751.99877,1510.7589,426.96211,5.9938379
2235,808.70955,751.99877,1510.7589,426.96211,5.9938379
2236,808.70955,751.99877,1510.7589,426.96211,5.9938379
2237,808.70955,751.99877,1510.7589,426.96211,5.9938379
2238,808.70955,751.99877,1510.7589,426.96211,5.9938379
2239,808.70955,751.99877,1510.7589,426.96211,5.9938379
2240,808.70955,751.99877,1510.7589,426.96211,5.9938379
2241,808.70955,751.99877,1510.7589,426.96211,5.9938379
2242,808.70955,751.99877,1510.7589,426.96211,5.9938379
2243,808.70955,751.99877,1510.7589,426.96211,5.9938379
2244,808.70955,751.99877,1510.7589,426.96211,5.9938379
2245,808.70955,751.99877,1510.7589,426.96211,5.9938379
2246,808.70955,751.99877,1510.7589,426.96211,5.9938379
2247,808.70955,751.99877,1510.7589,426.96211,5.9938379
2248,808.70955,751.99877,1510.7589,426.96211,5.9938379
2249,808.70955,751.99877,1510.7589,426.96211,5.9938379
2250,808.70955,751.99877,1510.7589,426.96211,5.9938379
2251,808.70955,751.99877,1510.7589,426.96211,5.9938379
