Date,Cloudiness,Temperature,Wind Speed,Weather Code
2013-11-25,0,3.7000000000000002,10,
2013-11-26,2,2.3125,6,
2013-11-27,8,7.3125,12,61
2013-11-28,2,8.0250000000000004,18,
2013-11-29,8,5.9874999999999998,11,63
2013-11-30,7,5.5250000000000004,10,20
2013-12-01,5,8.6624999999999996,20,61
2013-12-02,0,3.0625,4,10
2013-12-03,8,1.7124999999999999,6,28
2013-12-04,7,5.8499999999999996,11,63
2013-12-05,7,4.4625000000000004,24,63
2013-12-06,6,1.7875000000000001,25,73
2013-12-07,5,1,11,22
2013-12-08,8,6.9749999999999996,16,63
2013-12-09,7,9.2375000000000007,10,45
2013-12-10,7,7.1875,8,61
2013-12-11,7,5.0250000000000004,9,10
2013-12-12,8,2.5249999999999999,8,28
2013-12-13,7,3.5375000000000001,6,61
2013-12-14,7,3.0125000000000002,7,61
2013-12-15,8,7.9249999999999998,12,61
2013-12-16,8,8.7750000000000004,12,
2013-12-17,8,4.9500000000000002,8,61
2013-12-18,7,6.8499999999999996,8,10
2013-12-19,7,7.4000000000000004,10,63
2013-12-20,7,5.2874999999999996,10,61
2013-12-21,8,6.5625,13,63
2013-12-22,7,8.1374999999999993,12,61
2013-12-23,3,5.4874999999999998,10,
2013-12-24,7,11.4375,18,61
2013-12-25,6,8.5625,13,21
2013-12-26,6,3.7749999999999999,6,28
2013-12-27,7,5.7625000000000002,15,63
2013-12-28,7,7.0625,9,21
2013-12-29,7,5.7125000000000004,9,63
2013-12-30,4,4.75,11,10
2013-12-31,4,5.0374999999999996,7,
2014-01-01,5,4.5125000000000002,8,63
2014-01-02,7,6.25,9,63
2014-01-03,7,6.8375000000000004,10,63
2014-01-04,5,6.9375,11,
2014-01-05,7,6.1875,11,63
2014-01-06,7,7.9124999999999996,11,65
2014-01-07,7,10.4375,13,
2014-01-08,7,8.6374999999999993,15,63
2014-01-09,7,9.6125000000000007,16,61
2014-01-10,7,6.6375000000000002,17,61
2014-01-11,7,5.5875000000000004,18,63
2014-01-12,2,5.5250000000000004,16,21
2014-01-13,8,3.1375000000000002,10,69
2014-01-14,6,4.2249999999999996,6,28
2014-01-15,7,3.2285710000000001,7,28
2014-01-16,8,2.7374999999999998,9,63
2014-01-17,7,6.7374999999999998,4,61
2014-01-18,7,5.8875000000000002,8,61
2014-01-19,7,2.8624999999999998,19,10
2014-01-20,8,0.38750000000000001,13,61
2014-01-21,7,-0.65000000000000002,7,77
2014-01-22,8,-3.1124999999999998,14,22
2014-01-23,8,-3.1875,11,22
2014-01-24,2,-5.1624999999999996,13,10
2014-01-25,5,-7.0374999999999996,8,
2014-01-26,1,-8.4749999999999996,10,10
2014-01-27,5,0.69999999999999996,9,69
2014-01-28,7,-0.26250000000000001,10,10
2014-01-29,7,-5.0499999999999998,13,77
2014-01-30,7,-4.4874999999999998,8,77
2014-01-31,8,-3.6875,7,10
2014-02-01,7,3.2250000000000001,10,63
2014-02-02,0,5.4874999999999998,8,
2014-02-03,1,3.4750000000000001,8,10
2014-02-04,5,3.9249999999999998,6,10
2014-02-05,4,3.6749999999999998,8,10
2014-02-06,7,7.875,11,20
2014-02-07,7,8.4749999999999996,15,63
2014-02-08,7,6.2874999999999996,12,61
2014-02-09,5,6.7125000000000004,15,63
2014-02-10,2,6.6375000000000002,9,
2014-02-11,7,4.9249999999999998,12,61
2014-02-12,4,6.0999999999999996,13,10
2014-02-13,5,7.4500000000000002,13,
2014-02-14,5,5.2125000000000004,9,10
2014-02-15,5,11.5,15,
2014-02-16,7,6.0625,17,63
2014-02-17,0,6.6875,9,
2014-02-18,7,7.7999999999999998,8,10
2014-02-19,7,6.3250000000000002,8,61
2014-02-20,6,9.0999999999999996,11,10
2014-02-21,7,7.5125000000000002,11,61
2014-02-22,7,5.9249999999999998,11,21
2014-02-23,1,8.625,12,
2014-02-24,1,9.4124999999999996,11,
2014-02-25,1,10.475,7,
2014-02-26,5,10.1875,8,
2014-02-27,1,8.8874999999999993,7,10
2014-02-28,7,6.1875,6,61
2014-03-01,2,5.0750000000000002,9,10
2014-03-02,6,6.5625,9,10
2014-03-03,0,9.1875,10,5
2014-03-04,7,6.6875,7,10
2014-03-05,7,4.6875,7,28
2014-03-06,3,8.9250000000000007,9,10
2014-03-07,6,11.275,10,5
2014-03-08,0,9.9375,6,
2014-03-09,0,16.399999999999999,9,
2014-03-10,0,15.800000000000001,9,
2014-03-11,0,7.8499999999999996,9,
2014-03-12,0,10.2125,8,0
2014-03-13,0,13.375,10,
2014-03-14,1,9.6125000000000007,10,
2014-03-15,4,9.0374999999999996,27,
2014-03-16,7,9.3375000000000004,24,61
2014-03-17,7,9.5875000000000004,18,61
2014-03-18,7,9.6875,16,21
2014-03-19,7,9.4499999999999993,18,61
2014-03-20,0,16.262499999999999,13,
2014-03-21,7,6.8875000000000002,14,63
2014-03-22,5,8.8499999999999996,11,63
2014-03-23,4,8.3625000000000007,10,
2014-03-24,3,7.5625,7,
2014-03-25,2,7.7249999999999996,10,21
2014-03-26,5,7.8499999999999996,11,21
2014-03-27,6,5.0999999999999996,12,
2014-03-28,8,5.4000000000000004,12,10
2014-03-29,3,9.375,8,10
2014-03-30,0,11.262499999999999,8,28
2014-03-31,7,7.4375,4,45
2014-04-01,8,5.7625000000000002,13,10
2014-04-02,2,12.449999999999999,8,10
2014-04-03,3,7.6124999999999998,15,10
2014-04-04,6,6.4500000000000002,15,0
2014-04-05,8,9.8249999999999993,5,61
2014-04-06,7,12.1875,8,63
2014-04-07,7,15.7875,10,63
2014-04-08,7,9.8125,19,61
2014-04-09,7,10.1875,20,21
2014-04-10,7,9.75,4,
2014-04-11,6,12.0625,10,
2014-04-12,4,11.199999999999999,12,0
2014-04-13,6,11.012499999999999,21,
2014-04-14,5,8.9000000000000004,23,61
2014-04-15,0,9.9124999999999996,15,
2014-04-16,0,11.362500000000001,9,
2014-04-17,5,14.4,14,
2014-04-18,7,8.2375000000000007,11,61
2014-04-19,1,11.125,13,5
2014-04-20,0,13.875,15,5
2014-04-21,4,13.425000000000001,15,0
2014-04-22,3,15.449999999999999,10,10
2014-04-23,8,9.8249999999999993,11,21
2014-04-24,8,9.1750000000000007,11,
2014-04-25,0,13.5625,12,
2014-04-26,0,15.449999999999999,11,
2014-04-27,0,16.225000000000001,16,
