Datum,Warengruppe,Umsatz
2019-09-07,3,276.406199966196
2019-09-09,3,292.377301272545
2019-09-10,3,295.453070758521
2019-09-11,3,288.075381398997
2019-09-12,3,324.414915103205
2019-09-13,3,279.828689336107
2019-09-14,3,277.955518936263
2019-09-16,3,328.944594017303
2019-09-17,3,294.920441575493
2019-09-18,3,281.366358240161
2019-09-19,3,322.250419599964
2019-09-20,3,491.779028292934
2019-09-21,3,268.417586025196
2019-09-23,3,306.388647353056
2019-09-24,3,305.250852093318
2019-09-25,3,286.618539639108
2019-09-26,3,323.108121034766
2019-09-27,3,263.028549082064
2019-09-28,3,268.025340957169
2019-09-30,3,313.180670496168
2019-10-01,3,295.148822572788
2019-10-02,3,307.292053221106
2019-10-03,3,313.218031991593
2019-10-04,3,281.416141067601
2019-10-05,3,221.063865580549
2019-10-07,3,325.857062127439
2019-10-08,3,311.08077212535
2019-10-09,3,352.840664549608
2019-10-10,3,347.51944081156
2019-10-11,3,259.705713909517
2019-10-12,3,304.41085310946
2019-10-13,3,238.418313268197
2019-10-14,3,333.116361221484
2019-10-15,3,306.997641600565
2019-10-16,3,313.137793577599
2019-10-17,3,341.06403893454
2019-10-18,3,317.206802812482
2019-10-19,3,286.204135304902
2019-10-21,3,340.036236979157
2019-10-22,3,322.526157542742
2019-10-23,3,297.961502796817
2019-10-24,3,375.416421010299
2019-10-25,3,281.978387862549
2019-10-26,3,263.709169755928
2019-10-28,3,327.738225542525
2019-10-29,3,339.678949341846
2019-10-30,3,329.224531358191
2019-11-01,3,338.761412334247
2019-11-02,3,232.779531446832
